,Timestamp,"Кафедра, на якій ви навчалися",Рік закінчення КПІ,"Найвищий рівень освіти, що ви отримали в КПІ",Чи обрали б ви КПІ знову?,Який найвищий рівень освіти ви б порадили собі отримати,Чому ви б зробили саме такий вибір?,Що ви хотіли отримати від навчання?,Чи влаштовує вас рівень наукової діяльності в КПІ?,Чи забезпечував вас університет всім необхідним для навчання?,Чи задоволені ви спілкуванням зі своїми викладачами?,Які дисципліни виявилися для вас найбільш корисними? Чому?,Ви задоволені практикою?,Практика відповідала спеціальності?,Проходили практику на підприємстві чи на кафедрі?,Ви дійсно проходили практику чи просто написали звіт?,Чи була практика корисною для вас?,Що б ви змінили в практиці?,Коли ви почали працювати?,На якому курсі ви почали працювати?,Ви одразу працювали за спеціальністю?,"Чи подобається вам галузь, в якій ви працюєте?",Чи працюєте ви за спеціальністю?,В якій компанії ви працюєте?,Галузь компанії,Кількість працівників,На якій посаді ви працюєте?,"Чи достатньо знань та навичок, отриманих в університеті, щоб знайти роботу?","Чи були актуальними знання, отримані в університеті, на момент закінчення?",Чи вважаєте ви перспективною отриману спеціальність?,"Чи стикалися ви з ситуацією, коли наявність диплому була вирішальною для отримання роботи?",Наявність якого диплому була важливою?,"Передайте привіт студентам, випускникам та викладачам КПІ",Що б ви змінили в цьому опитуванні?
599,2017/03/12 3:36:32 AM GMT+3,АХВ,2014,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Бакалавр,,"знання для того, щоб займатися наукою;знання для використання на роботі;відстрочку від армії;можливість жити в гуртожитку","Щось влаштовує, щось ні",Важко відповісти,"Чимось задоволений, чимось ні",,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Ні,,Одразу після закінчення університету,,Так,Так,Так,,IT,Більше 800,системний аналітик,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше так, але довелося вивчити деякі нові технології","Так, потреба в спеціалістах зростає",Ні,,,
600,2017/03/12 8:42:45 AM GMT+3,КТЕВН,2016,Магістр або спеціаліст,Навчатися в іншому ВНЗ,Магістр або спеціаліст,Повівся на міф про якісну освіту,знання для використання на роботі;диплом - формальне підтвердження знань,Скоріше не влаштовує,Не забезпечував,"Чимось задоволений, чимось ні",,,Ні,"На кафедрі, писав диплом","Не проходив практику, в кінці написав звіт",Ні,,Одразу після закінчення університету,,Ні,Ні,"Ні, працюю в іншій галузі",,Виробництво,81-200,,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше ні, але теоретична база актуальна","Ні, потреба в спеціалістах зменшується","Наявність диплому була перевагою, але не вирішальною",Диплому магістра,,
601,2017/03/12 10:17:04 AM GMT+3,Філософії,2006,Магістр або спеціаліст,"Навчатися там, де я навчався",Кандидатський чи докторський ступінь,,"знання для того, щоб займатися наукою",Скоріше не влаштовує,Не забезпечував,"Чимось задоволений, чимось ні",,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов університет","Не проходив практику, в кінці написав звіт",Важко відповісти,,Під час навчання,2.0,Так,Так,Так,,Освіта,Більше 800,,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Ні, потреба в спеціалістах зменшується",Ні,,,
602,2017/03/12 11:02:35 AM GMT+3,ПЗКС,2015,Магістр або спеціаліст,Важко відповісти,Магістр або спеціаліст,,знання для використання на роботі;відстрочку від армії;можливість жити в гуртожитку,Скоріше не влаштовує,Не забезпечував,"Чимось задоволений, чимось ні",,,Так,"На підприємстві, знайшов університет","На практиці писав диплом, як звіт здав розділ диплому",Ні,,Одразу після закінчення університету,,Так,Так,Так,,IT,21-80,,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Так, потреба в спеціалістах зростає",Ні,,,
603,2017/03/12 11:13:24 AM GMT+3,Математичних методів захисту інформації,2015,Магістр або спеціаліст,"Навчатися там, де я навчався",Кандидатський чи докторський ступінь,"Я дуже задоволений вибором саме свого факультету та кафедри. ФТІ має дуже гарний арсенал висококваліфікованих викладачів, які забезпечують широкий рівень підготовки. Як казав мій викладач з фізики: ""Ви вчитеся у університеті. Універ. Універсальний. Ми маємо надати вам широку і гарну освіту, бо ми не знаємо, де ви будете працювати. Припустимо, що ви будете програмістами: ящо ви будете програмувати, наприклад, роботів, які будуть робити каву, то вам добре було б знати, наприклад, температуру кипіння води.""

Звісно не всі викладачі відповідали високим стандартам, але більшість і особливо на кафедрі ММЗІ.","знання для того, щоб займатися наукою;знання для використання на роботі","Щось влаштовує, щось ні",Частково забезпечував,Скоріше задоволений,"Криптографія (набір дисциплін), фізика, математичний аналіз та лінійна алгебра","Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,"Якщо проходити практику на кафедрі, то це скоріше формальність, ніж користь. Гарну практику на підприємстві необхідно самому шукати — якби університет укладав угоди з компаніями, то було б зручніше.

Це стосується IT компаній.",Під час навчання,4.0,Ні,Так,Так,GlobalLogic Ukraine,IT,Більше 800,Розробник вбудованих систем,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше так, але довелося вивчити деякі нові технології","Так, потреба в спеціалістах зростає",Так,Диплому магістра,"Хочу порадити студентам КПІ ставитися серйозніше до навчання:  не варто витрачати свій час на гулянки та різні дурниці. Ці шість років мають бути для вас важкими у дослідженнях і незабутніми у майбутньому.

Ви не маєте жалкувати, що ви недостатньо вчилися, а вміти користуватися знаннями, як головний герой фільму Марсіанин.",
604,2017/03/12 12:14:13 PM GMT+3,АУТС,2015,Магістр або спеціаліст,Важко відповісти,Магістр або спеціаліст,"В гуртожитках КПІ все ще дешеве проживання. треба жити стільки, скільки можливо",відстрочку від армії;можливість жити в гуртожитку,Повністю не влаштовує,Частково забезпечував,"Чимось задоволений, чимось ні","Базові (1-2курс) для формування інженерного мислення. Частково дисципліни з програмування, але вони дали надто мало корисної інформації, скоріше заважали вивчати те, що було необхідно для роботи.","Чимось задоволений, чимось ні",Ні,"На кафедрі, писав диплом","Не проходив практику, в кінці написав звіт",Ні,"Відмінити її взагалі для спеціальностей ФІОТу, так як практики на виробництвах в наш час не дають ніякої користі для подальшої роботи. Надто мало часу, щоб опанувати корисними знаннями з виробництва, практикантам бояться давати реальну роботу, їм не розповідають про деталі процесу, так як це є таємницею. Окрім того, більшість ФІОТівців цікавляться айті сферою, яку наші підприємства, з якими укладено угоду про практику, запропонувати практикантам не можуть.
Практики наукового спрямування мають право на існування, але вони також на наш час мають надто слабкий рівень, щоб забезпечити майбутнього аспіранта необхідними навичками для досліджень. Це скоріше копіювання розробок 10-15 літньої давності, взятих у наукових керівників від їх минулих аспірантів, та топтання на місці без якихось реальних просувань в темі досліджень. Замилювання очей, коротше кажучи. 
Потрібні свіжі теми, свіжі люди, знаходження тих студентів, яким цікаве просування в науковій сфері та мотивування їх для зайняття цією діяльністю. Фінансування, дозвіл на розробку власних тем, не жорстка прив'язка до якихось окремих наукових керівників (їх компетенція для сучасних тем також викликає великі питання). І головне - виділяти більше навчального часу для розробки тем, які цікавлять самих студентів, та менше для вивчення програмних предметів, які вже стали морально застарілими.",Під час навчання,5.0,Ні,Так,"Ні, працюю в іншій галузі",,IT,Більше 800,software engineer,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше ні, але теоретична база актуальна","Ні, потреба в спеціалістах зменшується",Ні,,"Вже десь на 3 курсі чітко визначитись, чого саме ви хочете. Роботу за спеціальністю, чи вас цікавить щось інше. Якщо за спеціальністю - то підшукуйте виробництво, яке буде відповідати вашим потребам. Якщо ні - не приділяйте навчанню в кпі часу більше ніж необхідно, щоб втриматись на місці студента та в гуртожитку. Та шукайте свій напрям. Якщо він вимагає якихось конкретних знань - отримуйте їх самостійно за допомогою інтернету чи знайомих. Якщо ні - йдіть одразу на роботу не задумуючись. Час вашого життя не вартий його марнування в древніх аудиторіях універу, в яких ви не отримаєте нічого корисного для себе.",все ок
605,2017/03/12 12:30:05 PM GMT+3,ІБ,2015,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,відносно високі актуальність професійно-орієнтованих дисциплін і  якість їх викладання.,знання для використання на роботі;диплом - формальне підтвердження знань,Важко відповісти,Повністю забезпечував,Скоріше задоволений,"криптографія, qa/qc,",Скоріше задоволений,Так,"На кафедрі, не писав диплом","Не проходив практику, в кінці написав звіт",Важко відповісти,,Під час навчання,5.0,Так,Так,Так,Luxoft,IT,Більше 800,QA automation,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше так, але довелося вивчити деякі нові технології","Так, такі спеціалісти завжди будуть потрібні",Так,Диплому бакалавра,,
606,2017/03/12 12:33:16 PM GMT+3,ФФ,2013,Магістр або спеціаліст,Важко відповісти,Кандидатський чи докторський ступінь,,"знання для того, щоб займатися наукою",Повністю не влаштовує,Не забезпечував,"Чимось задоволений, чимось ні",,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Важко відповісти,,Під час навчання,3.0,Так,Важко відповісти,Так,,Наука,201-800,,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні",Ні,,,
607,2017/03/12 12:50:50 PM GMT+3,ММСА,2016,Бакалавр,Навчатися в іншому ВНЗ,Важко відповісти,"Уровень ожидаемой работы с данными для их анализа оказался в разы больше в сравнении с реальным. Актуальные направления, тот же профильный системный анализ, оказались профанацией науки (здесь много слов о том, как изучаемые методы на самом деле не работают нигде, кроме книг преподавателей, а книги преподавателей в свою очередь написаны на основании лаб/исследований подопечных студентов, в коде которых для получения нужных преподавателям результатов повсюду стоят подгонианы)","знання для того, щоб займатися наукою;знання для використання на роботі;відстрочку від армії",Повністю не влаштовує,Частково забезпечував,,"Курс БД. Хорошо в целом прочитан, грамотен по требованиям, нужен в работе. Курс теории вероятностей, строго и подробно прочитан, важен в работе. Курс дискретной математики/матлогики/вычислительных машин, хорош в общеобразовательных целях. Мат анализ, часто важен как база для остального, дает понимание о том, как правильно заниматься научной деятельностью.","Чимось задоволений, чимось ні",Ні,"На кафедрі, не писав диплом","Не проходив практику, в кінці написав звіт",Ні,"Понятия не имею.) Я так и не понял зачем она нужна. Когда хотел работать, шел и работал за деньги, отсутствие практики, не считаю потерей вообще.",Під час навчання,1.0,Ні,Так,"Ні, працюю в іншій галузі",Tubularlabs,IT,21-80,Software engineer,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше ні, але теоретична база актуальна","Так, потреба в спеціалістах зростає",Ні,,"Никто вас учить, в основном, не будет. Читайте книги, хорошие и плохие, учитесь их различать. Не расстрачивайтесь попусту на попытки изменить прогнившый университет (любой не только КПИ), меняйте себя, вы у себя один/одна. Отнеситесь к месту в котором вы учитесь не как к чему-то, что должно, а к чему-то, что может. Узнавайте обо всем, что можете, чтобы расширить горизонт, но станьте лучшим в мире в какой-то достаточно узкой специализации, чтобы углубить познания. И знайте, что начать учиться никогда не поздно с университет, или без него.","Там вопрос был про нравится ли сфера. И есть вариант, что буду менять. Мне например моя сфера ИТ очень нравится, и менять не буду, но с большим удовольствием, я бы занимался наукой, например. В общем там меня варианты немного смутили, возможно для статистики, это не так и важно.)"
608,2017/03/12 1:02:32 PM GMT+3,ММСА,2014,"Вчився в КПІ, але не закінчив навчання",Навчатися в іншому ВНЗ,Магістр або спеціаліст,,знання для використання на роботі,"Щось влаштовує, щось ні",Не забезпечував,,,"Чимось задоволений, чимось ні",Ні,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Ні,,Досі не працюю,,,,,,,,,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні","Наявність диплому була перевагою, але не вирішальною",Диплому спеціаліста,,
609,2017/03/12 1:27:42 PM GMT+3,Ммса,2016,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,Широкий выбор для работы за границей,"знання для того, щоб займатися наукою;знання для використання на роботі;диплом - формальне підтвердження знань","Щось влаштовує, щось ні",Повністю забезпечував,Повністю задоволений,Все дисциплины по программированию,Скоріше задоволений,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Ні,,Під час навчання,4.0,Так,Так,Так,,IT,81-200,Java developer,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше ні, але теоретична база актуальна","Так, потреба в спеціалістах зростає","Наявність диплому була перевагою, але не вирішальною",Диплому бакалавра,,
610,2017/03/12 1:29:46 PM GMT+3,ММСА,2016,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,,знання для використання на роботі,"Щось влаштовує, щось ні",Повністю забезпечував,"Чимось задоволений, чимось ні",,"Чимось задоволений, чимось ні",Ні,"На кафедрі, писав диплом","На практиці писав диплом, як звіт здав розділ диплому",Важко відповісти,,Під час навчання,4.0,Так,Так,Так,,IT,До 20,Розробник програмного забезпечення,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше так, але довелося вивчити деякі нові технології","Так, такі спеціалісти завжди будуть потрібні",Ні,,,
611,2017/03/12 1:38:30 PM GMT+3,МБ,2017,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Бакалавр,"Тому що на бакалавраті було цікаво, хоча й важко, а коли навчались на спеціаліста, то було багато не потрібних предметів, які забирали дорогоцінний час.  І краще було піти працювати і мати уже 2+досвіду, ніж протирати штани у холодних аудиторіях",знання для використання на роботі;можливість жити в гуртожитку,"Щось влаштовує, щось ні",Частково забезпечував,"Чимось задоволений, чимось ні","Основи фарм в-ва - ці знання можна застосувати на практиці ( у моєму випадку на заводі)
Мікробіологія - вела прекрасна викладач (розумна, активна і дотепна) 
Бази даних - для моєї теперішньої роботи не по спеціальності дуже пригодилось)","Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,Щоб її шукав час університет і не потрібно було самому їздити по заводах,Під час навчання,5.0,Ні,Так,"Ні, працюю в іншій галузі",ІТ компанія,IT,Більше 800,ІТ-рекрутер,"Не знаю, не хочу працювати за спеціальністю","Ні, зараз немає роботи, де можна було б їх використати","Так, такі спеціалісти завжди будуть потрібні","Наявність диплому була перевагою, але не вирішальною",Диплому бакалавра,"Немає сенсу у магістратурі 
Хіба що вам потрібна відсрочка або ви любите у 21 рік жити в гуртожитку",
612,2017/03/12 2:00:11 PM GMT+3,ММСА,2016,Магістр або спеціаліст,Важко відповісти,Не закінчував би КПІ,,знання для використання на роботі;диплом - формальне підтвердження знань;відстрочку від армії;можливість жити в гуртожитку,Повністю не влаштовує,Частково забезпечував,"Чимось задоволений, чимось ні",,,Ні,"На кафедрі, писав диплом","Не проходив практику, в кінці написав звіт",Ні,,Під час навчання,4.0,Так,Так,Так,Grammarly,IT,81-200,Research engineer,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Так, потреба в спеціалістах зростає",Ні,,,
613,2017/03/12 2:13:43 PM GMT+3,IБ,2015,Магістр або спеціаліст,"Навчатися там, де я навчався",Бакалавр,Просто нет ничего лучше в Украине (к сожалению),знання для використання на роботі,"Щось влаштовує, щось ні",Не забезпечував,"Чимось задоволений, чимось ні",,,Ні,"На кафедрі, писав диплом","Не проходив практику, в кінці написав звіт",Ні,,Під час навчання,5.0,Ні,Так,"Ні, працюю в іншій галузі",,IT,Більше 800,Digital marketing,"Не знаю, не хочу працювати за спеціальністю","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні",Ні,,,
614,2017/03/12 2:43:19 PM GMT+3,МСА,2014,Бакалавр,"Навчатися там, де я навчався",Бакалавр,,"знання для того, щоб займатися наукою;знання для використання на роботі","Щось влаштовує, щось ні",Повністю забезпечував,Повністю задоволений,Матан,Важко відповісти,Так,"На підприємстві, знайшов сам","На практиці писав диплом, як звіт здав розділ диплому",Важко відповісти,,Під час навчання,2.0,Так,Так,Так,,Наука,Більше 800,,"Так, але краще займатися додатково, щоб отримати більше можливостей","Скоріше так, але довелося вивчити деякі нові технології","Так, потреба в спеціалістах зростає",Ні,,Привіт,
615,2017/03/12 3:06:06 PM GMT+3,ТК,2015,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,,"знання для того, щоб займатися наукою;знання для використання на роботі;можливість жити в гуртожитку","Щось влаштовує, щось ні",Частково забезпечував,Скоріше задоволений,,,Так,"На кафедрі, не писав диплом","На практиці писав диплом, як звіт здав розділ диплому",Важко відповісти,,Одразу після закінчення університету,,Ні,Так,,,IT,81-200,,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні","Наявність диплому була перевагою, але не вирішальною",Диплому бакалавра,,
616,2017/03/12 3:17:50 PM GMT+3,КФМ,2016,Магістр або спеціаліст,Навчатися в іншому ВНЗ,Магістр або спеціаліст,"Я б зробила так, тому що в КПІ багато бюрократії та догляду, мало свободи.",знання для використання на роботі,"Щось влаштовує, щось ні",Частково забезпечував,"Чимось задоволений, чимось ні","Найбільш корисно. дисципліною для мене була теоретична фізика, тому що методика викладання О.В. Філатова дозволила щось зрозуміти, а не вчити заради заліку. Також корисним вважаю курс методів оптимізації.",,Так,"На кафедрі, не писав диплом","Не проходив практику, в кінці написав звіт",Важко відповісти,"В практиці додала б практичних завдань, експериментів, бажано не тільки в наукових закладах, а й на підприємствах. Було б добре, якщо відповідальні за практику на кафедрі сказали б про можливість самому знайти місце проходження практики.",Одразу після закінчення університету,,Так,Так,Так,ТОВ  Прогрестех - Україна,Виробництво,81-200,інженер-технолог,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні","Інша ситуація, наявність диплому була важливою",Диплому спеціаліста,"Привіт. Незалежно від віку та статусу в КПІ, не забувайте розвиватися та слідкувати за новим, впроваджувати нове у робочий процес. Робить те, що подобається.","\__("".)__/"
617,2017/03/12 3:29:33 PM GMT+3,ВсР,2016,Магістр або спеціаліст,Важко відповісти,Бакалавр,,знання для використання на роботі,"Щось влаштовує, щось ні",Частково забезпечував,Скоріше задоволений,"Дисциплины имеющие непосредственное отношение к специальности, которые вели практикующие преподаватели.","Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Важко відповісти,"Отошел бы от принудительной практики, которая часто просто проходит для галочки",Одразу після закінчення університету,,Так,Важко відповісти,Так,,Маркетинг,21-80,,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше так, але довелося вивчити деякі нові технології","Ні, потреба в спеціалістах зменшується",Ні,,,
618,2017/03/12 3:35:35 PM GMT+3,ММСА,2016,Магістр або спеціаліст,Навчатися в іншому ВНЗ,Не закінчував би КПІ,"Не лояльное отношение к студентам.
Много бесполезной информации.",знання для використання на роботі;диплом - формальне підтвердження знань,"Щось влаштовує, щось ні",Повністю забезпечував,"Чимось задоволений, чимось ні","Теория вероятностей, Экономика","Чимось задоволений, чимось ні",Ні,"На кафедрі, не писав диплом","Не проходив практику, в кінці написав звіт",Ні,,Одразу після закінчення університету,,Ні,Так,"Ні, працюю в іншій галузі",,Маркетинг,До 20,,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше ні, але теоретична база актуальна","Так, потреба в спеціалістах зростає",Ні,,"Ильенко Андрей Борисович крутой!

Один из немногих преподавателей, который качественно дает знания!",
619,2017/03/12 3:54:36 PM GMT+3,ФбМЕ,2016,Магістр або спеціаліст,Не навчатися в ВНЗ,Не закінчував би КПІ,Лучший универ в 2016 - интернет,знання для використання на роботі;відстрочку від армії,Повністю не влаштовує,Важко відповісти,Скоріше задоволений,программирование,,Ні,"На кафедрі, писав диплом","Не проходив практику, в кінці написав звіт",Ні,Не проводил бы практику,Одразу після закінчення університету,,Ні,Так,"Ні, працюю в іншій галузі",,IT,До 20,python developer,"Ні, все, що треба для роботи, довелося вивчати самостійно","Ні, зараз немає роботи, де можна було б їх використати","Ні, вже зараз майже неможливо знайти роботу",Ні,,,
620,2017/03/12 4:02:54 PM GMT+3,ММСА,2016,Магістр або спеціаліст,"Навчатися там, де я навчався",Кандидатський чи докторський ступінь,,знання для використання на роботі;диплом - формальне підтвердження знань,Скоріше влаштовує,Частково забезпечував,"Чимось задоволений, чимось ні",,Скоріше задоволений,Так,"На підприємстві, знайшов сам","На практиці писав диплом, як звіт здав розділ диплому",Так,,Під час навчання,3.0,Так,Так,Так,,IT,21-80,,"Так, але краще займатися додатково, щоб отримати більше можливостей","Скоріше так, але довелося вивчити деякі нові технології","Так, потреба в спеціалістах зростає","Наявність диплому була перевагою, але не вирішальною",Диплому бакалавра,,
621,2017/03/12 4:10:44 PM GMT+3,СП,2016,Магістр або спеціаліст,"Навчатися там, де я навчався",Кандидатський чи докторський ступінь,,,"Щось влаштовує, щось ні",Частково забезпечував,Скоріше задоволений,,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Важко відповісти,,Під час навчання,1.0,Так,Так,Так,,IT,21-80,,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Так, потреба в спеціалістах зростає",Ні,,,
622,2017/03/12 4:15:02 PM GMT+3,ММСА,2016,Магістр або спеціаліст,Навчатися в іншому ВНЗ,Кандидатський чи докторський ступінь,,знання для використання на роботі,"Мені байдуже, не цікавлюся науковою діяльністю",Частково забезпечував,"Чимось задоволений, чимось ні",,,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,,Під час навчання,4.0,Так,Так,Так,,IT,Більше 800,,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні",Ні,,,
623,2017/03/12 4:51:42 PM GMT+3,СП,2016,Магістр або спеціаліст,Навчатися в іншому ВНЗ,Кандидатський чи докторський ступінь,,"знання для того, щоб займатися наукою;знання для використання на роботі",Повністю не влаштовує,Частково забезпечував,"Чимось задоволений, чимось ні",,,Так,"На кафедрі, писав диплом","Не проходив практику, в кінці написав звіт",Ні,,Під час навчання,5.0,Так,Так,Так,Waves Audio,IT,201-800,Інженер з ЦОС,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні","Інша ситуація, наявність диплому була важливою",Диплому бакалавра,,
624,2017/03/12 5:11:08 PM GMT+3,ПСКЛА,2014,Бакалавр,"Навчатися в КПІ, але за іншим напрямом",Магістр або спеціаліст,Бо парк гарний,"знання для того, щоб займатися наукою;знання для використання на роботі",Скоріше не влаштовує,Важко відповісти,Скоріше задоволений,"для мене були корисними не дисципліни, а викладачі. Всі викладали по-різному. Навіть якщо це була одна дисципліна з кількома викладачами...
мабуть політологія. Просто так я б її не вивчила.",Скоріше задоволений,Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Важко відповісти,"На другому-третьому курсах можна б нормальну практику, а то там фігня якась з миттям вікон була...",Одразу після закінчення університету,,Так,Так,"Ні, працюю в іншій галузі",,IT,До 20,Диференціал другого порядку,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше так, але довелося вивчити деякі нові технології","Ні, потреба в спеціалістах зменшується",Ні,,"Знання - це одне, співбесіда - це зовсім інше. Не мішайте грішне з праведним.
Навіть знання - це одне, а робота - зовсім інше.
Можна знати, що три паралельні вертикальні опори, з'єднані між собою на вершинах, не здатні нормально сприйняти бокове навантаження і що вони одразу скручуватимуться під дією найменшої сили, але сидіти і підбирати розміри саме для цієї дибільної схеми і саме з тими боковими силами, бо одні придурки - конструктори і вони просто не шарять механіку, а наші придурки - просто придурки, які думають, що треба обов'язково робити як вигадати конструктори, навіть не намагаючись запропонувати оптимальну конструкцію.
Такшо до одного місця іноді ті знання, отримані в КПІ...","якесь там було нелогічне питання,.. про те чи все мені дав КПІ для роботи кажись...
Так от, співбесіди проходити не навчив.
А іноді здається, що КПІ навіть дав зайве...
Чи це просто я взяла зайве? Якого маляра взагалі треба було вивчати той опір матеріалів? Жила б собі спокійно й горя б не знала..."
625,2017/03/12 5:25:34 PM GMT+3,Кафедра промислового маркетингу,2016,Бакалавр,Важко відповісти,Магістр або спеціаліст,Не хотіла зустрітися з корупцією в внз,знання для використання на роботі,Скоріше не влаштовує,Частково забезпечував,"Чимось задоволений, чимось ні",,,Так,"На підприємстві, знайшов університет","На практиці писав диплом, як звіт здав розділ диплому",Ні,Шукала б підприємство самостійно,Одразу після закінчення університету,,Так,Важко відповісти,Так,,Консалтинг,21-80,,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні",Ні,,,
626,2017/03/12 5:43:15 PM GMT+3,АПЕПС,2009,Магістр або спеціаліст,Важко відповісти,Кандидатський чи докторський ступінь,,знання для використання на роботі,Скоріше влаштовує,Повністю забезпечував,Скоріше задоволений,"математика, разделы программирования",Скоріше задоволений,Так,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Ні,,Під час навчання,3.0,Ні,Так,Так,Wargaming,IT,201-800,senior software engineer,"Так, але краще займатися додатково, щоб отримати більше можливостей","Скоріше так, але довелося вивчити деякі нові технології","Так, потреба в спеціалістах зростає",Так,Диплому бакалавра,,
