,Отметка времени,Чому ви обрали саме КПІ?,Чи відповідає дійсність очікуванням,Ви одразу вступили до КПІ чи перевилися з іншого ВНЗ?,На якому курсі це відбулося?,Що ви хочете отримати від навчання?,Чи обрали б ви КПІ знову?,Чи задоволені ви спілкуванням з іншими студентами?,Чи задоволені ви спілкуванням зі своїми викладачами?,Чи влаштовує вас рівень наукової діяльності в КПІ?,Чи забезпечує вас університет всім необхідним для навчання?,Чого саме не вистачає?,У вас була виробнича/переддипломна практика,Ви задоволені практикою?,Практика відповідала спеціальності?,Проходили практику на підприємстві чи на кафедрі?,Ви дійсно проходили практику чи просто написали звіт?,Чи була практика корисною для вас?,Що б ви змінили в практиці?,Чи плануєте ви працювати за спеціальністю?,Чи працюєте/працювали ви під час навчання?,На якому курсі ви почали працювати?,В якій компанії ви працюєте?,Галузь компанії:,Кількість працівників:,На якій посаді ви працюєте?,"Передайте привіт студентам, випускникам та викладачам КПІ",Щоб ви змінили в цьому опитуванні?
2394,23.03.2017 17:35:52,,,Одразу вступив до КПІ,,Знання для використання на роботі,Навчатися в іншому ВНЗ,Скоріше задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,,Ні,,,,,,,Так,"Так, за спеціальністю",2.0,,Дизайн,До 20,,,
2395,24.03.2017 2:11:48,Кращий ВНЗ України,,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,Скоріше задоволений,Скоріше влаштовує,Частково забезпечує,,Так,,Так,"На кафедрі, писав диплом","Не проходив практику, в кінці написав звіт",Ні,,Ні,"Так, не за спеціальністю",5.0,,Шоу-бізнес,21-80,,,
2396,24.03.2017 7:39:55,Хотіла навчатися в КПІ ще з шкільних років. Всі друзі навчались тут.,Ні,Перевівся з іншого ВНЗ,4.0,Диплом - формальне підтвердження знань,"Навчатися в КПІ, але за іншим напрямком",Скоріше задоволений,"Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Не забезпечує,"Аудиторій, придатних для проведення занять при нормальній температурі взимку. Для студентів з інших міст дуже важливе питання умов проживання в гуртожитку. Це першочергове.",Так,Важко відповісти,Так,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Ні,,Ні,"Так, не за спеціальністю",4.0,Mindy Supports,Маркетинг,81-200,Sales&Marketing assistant,Віддайте диплом і я піду,
2397,24.03.2017 7:42:22,,,Одразу вступив до КПІ,,Знання для використання на роботі,Навчатися в іншому ВНЗ,"Чимось задоволений, чимось ні","Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Частково забезпечує,проектори,Ні,,,,,,,"Ні, але планую працювати в тій самій галузі","Так, не за спеціальністю",3.0,,Консалтинг,81-200,,,занадто багато відкритих запитань
2398,24.03.2017 8:35:41,,,Перевівся з іншого ВНЗ,1.0,Знання для використання на роботі,Навчатися в іншому ВНЗ,"Чимось задоволений, чимось ні",Скоріше задоволений,Скоріше не влаштовує,Частково забезпечує,,Ні,,,,,,,Важко відповісти,Ні,,,,,,,
2399,24.03.2017 8:41:34,,,Одразу вступив до КПІ,,Диплом - формальне підтвердження знань,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Повністю задоволений,"Щось влаштовує, щось ні",Частково забезпечує,Цілих парт та опалення зимою,Ні,,,,,,,Так,"Так, не за спеціальністю",1.0,,Видавництво,Більше 800,,,
2400,24.03.2017 8:58:48,,"Люблю КПІ. В ньому є неймовірна атмосфера студентсього життя, яка відсутня в деяких інших університетах. 
Викладачі приємно здивували. Не очікувала зустріти таких цікавих людей, які дійсно є професіоналами своєї справи, та ще й так добре ставляться до студентів. Проте розклад дещо незручний. Не вистачає часу працювати, а крім цього та навчання, хотілося б ще й мати час на відпочинок з рідними, друзями, подорожі. Так як більший відсоток інформації, яку ми повинні засвоїти припадає на самостійне вивчення, непогано б мати більше часу на її вивчення. Бувають пари, коли просто приходиш, аби відвідуваність була. 
А так все круто, лише розклад дійсно всім не подобається",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Скоріше задоволений,Скоріше задоволений,Повністю влаштовує,Частково забезпечує,Отримувати фірмові футболки - то круто. Але спочатку хоч теплі аудиторії зробіть,Ні,,,,,,,Важко відповісти,"Так, не за спеціальністю",1.0,,Освіта,До 20,,,
2401,24.03.2017 9:04:07,,Не відповідає,Одразу вступив до КПІ,,Знання для використання на роботі,Важко відповісти,"Чимось задоволений, чимось ні",Скоріше задоволений,"Мені байдуже, не цікавлюся науковою діяльністю",Частково забезпечує,"Взимку не вистачає опалення, в деяких аудиторіях не придатні для користування парти та стільці.",Ні,,,,,,,Так,"Так, не за спеціальністю",1.0,,Шоу-бізнес,До 20,,,
2402,24.03.2017 9:17:26,"Через Київ, та круту інфраструктуру КПІ, але в останні роки я трішки зневірився в КПІ, взяти хоча б зміну назви нашого ВНЗ... .",Відповідає на 60%,Одразу вступив до КПІ,,Диплом - формальне підтвердження знань,"Навчатися в КПІ, але за іншим напрямком",Скоріше задоволений,"Чимось задоволений, чимось ні",Скоріше не влаштовує,Частково забезпечує,Онлайн курсів від викладачів факультету,Ні,,,,,,,Ні,"Так, не за спеціальністю",5.0,IT Freelance,IT,До 20,Freelancer,,"Добавити оцінку діяльності адміністрації, профспілки та студради"
2403,24.03.2017 9:19:54,,,Одразу вступив до КПІ,,Знання для використання на роботі,Навчатися в іншому ВНЗ,Скоріше задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,Тепла в 7 корпусі!!!,Так,,Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Ні,,"Ні, але планую працювати в тій самій галузі",Ні,,,,,,,
2404,24.03.2017 9:26:07,,Майже,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Скоріше задоволений,Скоріше задоволений,"Мені байдуже, не цікавлюся науковою діяльністю",Повністю забезпечує,,Ні,,,,,,,Так,Ні,,,,,,,
2405,24.03.2017 9:52:13,"Получить достойное образование, привлекала большая площадка для самореализации, множество стартапов, студ активность","Реальность абсолютно не совпадает с ожиданиями. Многим преподавателям действительно плевать на то, понял студент материал или нет. Очень мало преподавателей действительно заинтересованы в том, чтоб студент понял и усвоил программу.",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком","Чимось задоволений, чимось ні","Чимось задоволений, чимось ні","Мені байдуже, не цікавлюся науковою діяльністю",Частково забезпечує,"Аудитории, компьютерные классы, проэкторы есть и все в хорошем состоянии. Единственное что, это старые компьютеры, но то, что они есть - уже +.",Так,Повністю задоволений,Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Так,,Ні,"Так, не за спеціальністю",2.0,,Маркетинг,21-80,Уже никем,"Спасибо преподавателям, которые преподают (!), а не зарабатывают деньги.","Добавила бы к именам преподавателей фотографии, потому что если почти не ходил на пары, то имя мало о чем говорит"
2406,24.03.2017 9:52:49,"Целый студгородок, студенческая атмосфера",50 на 50,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком","Чимось задоволений, чимось ні","Чимось задоволений, чимось ні",Скоріше не влаштовує,Повністю забезпечує,,Ні,,,,,,,Ні,"Так, за спеціальністю",1.0,,Сфера обслуговування,До 20,,,
2407,24.03.2017 10:27:25,Найкращий технічний вуз країни,"Більшість викладачів КПІ- це розумні, цікаві особистості, які обізнані у сфері своєї діятьності та навіть поза нею.",Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся",Повністю задоволений,Повністю задоволений,"Щось влаштовує, щось ні",Частково забезпечує,"Взимку- отоплення, нове оснащення для проведення лабораторних та наукових робіт, меблів у гуртожитках.",Ні,,,,,,,Так,"Так, не за спеціальністю",3.0,,Освіта,До 20,,"Хочу виразити величезну подяку тим викладачам, які в нас вкладали свої знання і душу)
Відкривали нам очі на різні процеси, що відбуваються у світі, заохочували нас.  Саме вони зробили час проведений в КПІ з нереально високим рівнем ККД)
КПІ завжди славився своєю дружньою атмосферою. Усі КПІшники- це одна велика сім`я)))
Будучи за межами університету, коли при знайомстві з новою людиною виявляється, що вона певним чином пов'язана з КПІ- будьте певними що ви щойно знайшли нового товариша!)))","1) Зробити більший акцент на тому, що на сьогоднійшній час матеріал, що викладається досить застарілий.
2) Окрім навчання, задіти питання про громадську діяльність, наукову діяльність, проживання в гуртожитках, курси на КПІ."
2408,24.03.2017 10:28:10,1 корпус :),"Не розумію, чому був предмет радіотехніка , а судової психіатрії немає. 
Є дуже багато талановитих викладачів, але навантаження може бути більшим",Одразу вступив до КПІ,,Знання для використання на роботі,Не навчатися в ВНЗ,Скоріше задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,"Теплі аудиторії , тому що на вулиці тепліше , ніж в них. 
Кабінети з проекторами
Навчальних матеріалів
Та футболок з лейблом КПІ )",Так,Скоріше задоволений,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Важко відповісти,"Направлень у державні органи , за нашим бажанням , яким не було б усе одно на нашу практику.","Ні, але планую працювати в тій самій галузі","Так, не за спеціальністю",3.0,,Шоу-бізнес,201-800,,,"Сподіваюсь , що буде якась реакція на наші відповіді"
2409,24.03.2017 10:52:14,Це найкращий технічний ВУЗ України,Не повністю,Одразу вступив до КПІ,,Знання для використання на роботі,Важко відповісти,Повністю задоволений,Скоріше задоволений,Скоріше влаштовує,Частково забезпечує,"Деяких програм які мають оплачуватись ВУЗом а доводиться шукати ""піратскі"" версії та листочків на самостійні і контрольні роботи. Опалення в деяких аудиторіях",Ні,,,,,,,"Ні, але планую працювати в тій самій галузі",Ні,,,,,,"""Учітеся, брати мої!
Думайте, читайте,
І чужому научайтесь, − 
Свого не цурайтесь...""",Збільшити точність характеристики роботи викладачів за допомогою поля тексту для вводу інформації для тих хто бажає.
2410,24.03.2017 10:59:28,З метою отримання якісної технічної освіти .,Так,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Повністю задоволений,Скоріше влаштовує,Частково забезпечує,,Ні,,,,,,,Так,"Так, не за спеціальністю",1.0,,Будівництво,До 20,,,
2411,24.03.2017 11:05:14,,,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся",Повністю задоволений,Повністю задоволений,"Щось влаштовує, щось ні",Повністю забезпечує,,Ні,,,,,,,"Ні, але планую працювати в тій самій галузі","Так, не за спеціальністю",4.0,,Сфера обслуговування,До 20,,,
2412,24.03.2017 11:19:33,Лучший ВУЗ страны,нет,Одразу вступив до КПІ,,Диплом - формальне підтвердження знань,Не навчатися в ВНЗ,Скоріше задоволений,Скоріше задоволений,"Мені байдуже, не цікавлюся науковою діяльністю",Повністю забезпечує,,Так,,Так,"На кафедрі, не писав диплом",Дійсно проходив практику,Ні,отменил,Ні,"Так, за спеціальністю",2.0,Социо-модус,Сфера обслуговування,До 20,Ведущий социолог,"Люди, подумайте хорошо, прежде,чем, вступать на социологию, я потратил тут 4 года зря.","больше вариативности в ответах, или чтобы сам мог написать свой, а не выбрать."
2413,24.03.2017 11:24:36,"Сам себе задаю такой вопрос 
Чашку хочу выиграть","Да , все круто",Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися в КПІ, але за іншим напрямком","Чимось задоволений, чимось ні",Повністю задоволений,Повністю влаштовує,Повністю забезпечує,,Так,Повністю задоволений,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,,Так,"Так, за спеціальністю",1.0,Boing,Спорт,До 20,Директор,"Хочу передать привет Сулиму Андрею , Слава Богу тебя отчислили)","Ничего , все круто"
2414,24.03.2017 11:41:06,Кращий ВНЗ України,"Більш ніж на 80% відповідає, проте застаріле обладнання",Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,Повністю влаштовує,Частково забезпечує,Лабораторії для 1 і 2-го курсів,Ні,,,,,,,"Ні, але планую працювати в тій самій галузі",Ні,,,,,,,
2415,24.03.2017 12:01:30,Після КПІ більші перспективи потрапити на гарно оплочуєму роботу ніж після будь-якого іншого вузу.,,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,Повністю задоволений,Повністю влаштовує,Частково забезпечує,Підручниками,Ні,,,,,,,Важко відповісти,Ні,,,,,,Привіт всім!!!,Нічого
2416,24.03.2017 12:36:06,,,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Повністю задоволений,Повністю влаштовує,Частково забезпечує,,Ні,,,,,,,Так,"Так, не за спеціальністю",1.0,Bypro,IT,До 20,Адміністратор,,
2417,24.03.2017 12:47:53,,Викладачі компетентні у своїх предметах,Одразу вступив до КПІ,,Знання для використання на роботі,Навчатися в іншому ВНЗ,Повністю задоволений,Скоріше задоволений,Скоріше влаштовує,Частково забезпечує,"Хотілось б комфортніших аудиторій, ремонт в них і щоб не було холодно
А також використання у заняттях компютерів та проекторів",Ні,,,,,,,Так,Ні,,,,,,,
2418,24.03.2017 13:17:11,Хотів працювати з машинами,Немає з чим порівняти,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Повністю задоволений,"Щось влаштовує, щось ні",Частково забезпечує,"Того , що наведено в попередньому питанні",Ні,,,,,,,Так,"Так, за спеціальністю",3.0,,Виробництво,Більше 800,,"Студенти , якщо не ходите на пари , то хоть вивчіть самостійно ;
викладачі , якщо не ходите на пари , то хоть не ""валіть"" на заліку .",
2419,24.03.2017 13:40:30,Через високий рейтинг серед вузів,Не повністю,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся",Скоріше задоволений,Скоріше задоволений,Скоріше влаштовує,Частково забезпечує,Обігріву аудиторій,Ні,,,,,,,Так,"Так, за спеціальністю",1.0,СоціоМодус,Маркетинг,21-80,Анкетер,Дякую всім,Додала більше варіантів відповідей до питань щодо викладачів
2420,24.03.2017 15:14:34,"Вважаю, що тут дають найкращу підготовку за даним напрямом, серед українських вузів.","Загалом, так.",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Скоріше задоволений,Скоріше задоволений,Скоріше влаштовує,Частково забезпечує,Більш сучасне лабораторне обладнання.,Ні,,,,,,,Так,Ні,,,,,,"Тут дають знання тим, хто хоче їх отримати і щось робить для цтого.","Трохи розширити діапазон відповідей, щодо питань актуальності."
2421,24.03.2017 15:20:32,Тут можно провести лучшие студенческие годы и не пожалеть об этом.,Компетентность преподавателей оставляет желать лучшего.,Одразу вступив до КПІ,,Диплом - формальне підтвердження знань,"Навчатися там, де я зараз навчаюся","Чимось задоволений, чимось ні","Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Частково забезпечує,Из-за холодных аудиторий болел 3 раза за зиму. Спасибо КПИ,Ні,,,,,,,Ні,"Так, за спеціальністю",1.0,"Студрада КПИ, ФСП",Управління персоналом,201-800,Не важно,"Хочу поблагодарить некоторых преподавателей. Но, к сожалению, вы меня ничему по своим предметам не научили. Меня учила жизнь!",Нормальный опрос!
2422,24.03.2017 16:13:48,"Один з найпрестижніших університетів України 
Має добре географічне розташування корпусів та общаг
Є стипендіальні місця
Велика кількість можливостей для розвитку поза корпусами (завдяки студентським спільнотам)","По реальним очікуванням - повністю відповідає.
По очікуванням, згідно престижу цього університету - відповідає на ~70%",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,"Стабільного Wi-Fi
Розеток у всіх аудиторіях 
Нового обладнання для проведення дослідів",Так,Важко відповісти,Так,"На кафедрі, писав диплом","Не проходив практику, в кінці написав звіт",Ні,"Під час практики (коли я МАВ на неї ходити) я вже знайшов іншу сферу, у якій працюватиму. Тому мені було байдуже на практику",Ні,"Так, не за спеціальністю",2.0,,Освіта,До 20,Репетитор,"Хочу подякувати (ні) тим, хто вибирав дисципліни, які ми вивчали на 1-3 курсі. 
Дисципліни по спеціальності відповідали очікуванням. 
Але дисципліни гуманітарного напряму, які ми вивчали ""бо ми студенти Українського університету і маємо це вивчати"" - псували бажання вчитись. 

Студенти (та майбутні студенти) - пам'ятайте, що університет, це не лише корпуса та пари ;)","Про ""чи був у вас цей викладач"" - додати варіант ""не пам'ятаю"" або ""можливо був, але я не відвідав достатньо занять, щоб його хоч трохи запам'ятати"" або якось ще"
2423,24.03.2017 17:46:52,"Я выбрала КПИ потому, что он считается самым лучшим среди технических вузов в Украине. Кроме того, все студенты, что смогли пройти обучение в этом ВУЗе - не пропадут в этой жизни и добьются всего самого лучшего.","Как говорится, в бочку с мёдом добавили немного дёгтя: 10% преподавателей упрямо не идут навстречу студентам, если у тех возникают проблемы с посещением, при этом студенты сдают всю учебную программу. 
Конкретный случай с преподавателем патентоведения Беляевой Анастасией Юрьевной, которая говорила в начале года: ""Нужно сдать n-e количество практических работ, присутствовать на парах, иметь конспект, и тогда для получения хорошей оценки на зачёте никаких проблем не будет"". 
Итог: в конце семестра, в назначенный преподавателем день, когда нужно сдать все практические работы (а до этого по неясным причинам преподаватель не желал принимать работы студентов) на пару приходят студенты с готовыми работами, а препод даже не соизволил приехать на пару. Мало того, все попытки связаться с ним приводят к тому, что в СМС от преподавателя он чуть ли не прямым текстом оскорбляет студентов и посылает их в Австралию. 
На следующей паре (уже зачетная пара) по расписанию с данным преподавателям узнается еще один нюанс - препод не собирается принимать практические работы для просмотра и проверки, что выполнены были студентами. По словам самого препода: ""Ваши работы - полный отстой, смотреть я не буду их, принимать тоже, оценок за них не будет вообще, мне до вас всех нет дела."" 
Дали 2 теста для получения зачета и определения итоговой оценки студентов. Второй тест в итоге вообще не проверялся, рейтинг выставляли лишь по первому.",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,,Так,Скоріше задоволений,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Важко відповісти,Предоставление университетом обширного выбора и хороших связей с различными предприятиями и компаниями для прохождения практик по специальностям.,Так,"Так, не за спеціальністю",2.0,Edipresse Ukraine,Видавництво,81-200,,,Ничего
2424,24.03.2017 18:03:49,,Так,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся",Повністю задоволений,Повністю задоволений,Повністю влаштовує,Частково забезпечує,,Так,Скоріше задоволений,Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Так,,Так,Ні,,,,,,,
2425,25.03.2017 2:34:05,Жить в Киеве. Лучший тех.вуз. страны.,"Нет. Все устарело. Всем все ровно. ""Учаться"" даже те кто ничего не делают.",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Скоріше задоволений,Скоріше задоволений,Скоріше влаштовує,Частково забезпечує,"ОТОПЛЕНИЕ. Мультимедийные доски. Актуальные программные продукты для проектирования и конструирования. Такие как AutoCAD,SolidWorks.",Ні,,,,,,,Так,"Так, не за спеціальністю",1.0,ТЮСО,Сфера обслуговування,81-200,оператор колл центра,Всем добра. Думайте перед тем куда поступать. Думайте!,
2426,25.03.2017 4:01:31,Хотів знайти однодумців. Знайшов.,Абсолютно не відповідає,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою",Не навчатися в ВНЗ,Скоріше незадоволений,"Чимось задоволений, чимось ні",Повністю не влаштовує,Не забезпечує,"Як мінімум привести до ладу аудиторії. Оновлення техніки, закупівля приладів для лабораторних робіт",Так,Скоріше задоволений,Так,"На кафедрі, не писав диплом",Дійсно проходив практику,Так,,Так,"Так, за спеціальністю",5.0,,Шоу-бізнес,201-800,,"КПІ - місце де можна отримати  багато   навичок як виживати в соціальному світі. Спілкування, бюрократія, зв'язки... Хочете займатись наукою, тоді це не найкращий вибір. Але тут можна знайти чудових друзів і однодумців.",Все круто. Аби опитування мало хоча б якийсь вплив на ситуацію...
2427,25.03.2017 8:24:13,Крутий університет,Ак,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,Скоріше влаштовує,Частково забезпечує,Нового обладнання в аудиторії,Ні,,,,,,,Так,Ні,,,,,,Хочу передати привіт всьому Борисполю,Мене все влаштовує
2428,25.03.2017 13:36:29,,,Одразу вступив до КПІ,,Знання для використання на роботі,Навчатися в іншому ВНЗ,Скоріше задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Не забезпечує,"Нова техніка для роботи на лабораторних роботах (застарілі комп'ютери), нові пристрої для роботи на лекції (проектори, спеціальні дошки для відображення).
Капітальний ремонт у корпусі для комфортної роботи та відпочинку: ремонт аудиторій, лекційних залів, туалетів.",Ні,,,,,,,Так,Ні,,,,,,Сподіваюсь на великі зміни у навчальному плані та матеріальному стані.,"Додати більше варіантів для вибору або зробити можливість залишити коментарій, якщо немає потрібного варіанту."
2429,25.03.2017 13:47:37,вступ на бюджетну форму навчання,ні,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою",Навчатися в іншому ВНЗ,Повністю задоволений,"Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Не забезпечує,опалення в корпусах,Ні,,,,,,,"Ні, але планую працювати в тій самій галузі","Так, не за спеціальністю",4.0,SenseVision,Маркетинг,21-80,інтервюер,,
2430,25.03.2017 14:02:19,Это была моя мечта,Отвечает процентов на 80,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся",Скоріше задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,"Теплых аудиторий, мультимедийных проекторов",Ні,,,,,,,"Ні, але планую працювати в тій самій галузі","Так, не за спеціальністю",1.0,В социологической,Маркетинг,21-80,,"Поступайте, сначала не пожалеете",Вы - молодцы!
2431,25.03.2017 14:44:34,Найкращий тех вуз,Ні,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Скоріше задоволений,"Чимось задоволений, чимось ні",Скоріше влаштовує,Частково забезпечує,,Так,,Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Ні,,Ні,"Так, не за спеціальністю",4.0,,IT,До 20,,,
2432,25.03.2017 15:59:24,мечтала быть инженером - энергетиком,нет,Одразу вступив до КПІ,,Знання для використання на роботі,Важко відповісти,Скоріше незадоволений,"Чимось задоволений, чимось ні",Повністю не влаштовує,Не забезпечує,новое оборудование в лабораториях,Ні,,,,,,,Так,Ні,,,,,,Большое спасибо преподавателям моей кафедры (ВДЕ) за старния сделать наше обучение,"Хотела бы иметь возможность оценивать всех преподавателей, тк есть ошибки в расписании, да и хотелось бы отметить достойных преподавателей, которые обучали меня до появления проекта KPIdata"
2433,26.03.2017 5:56:12,"Наявне студмістечко, позиції в рейтингах, кількість інформації в Інтернеті у порівнянні з іншими ВУЗами - краще розумієш куди йдеш",,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся","Чимось задоволений, чимось ні",Повністю задоволений,Скоріше влаштовує,Повністю забезпечує,,Ні,,,,,,,Важко відповісти,Ні,,,,,,Хае! Будьте!,"Коли обирав групу зі випливаючого списку на початку, відкривалася сторінка з інфою про мету, цілі цього дослідження. Чи це так спеціально? Може потрібно зробити можливість вибрати групу зі списку, шляхом ""клацання"" по назві групи у списку так щоб не перекидувало на іншу сторінку"
2434,26.03.2017 8:04:27,,Ні,Одразу вступив до КПІ,,Знання для використання на роботі,Навчатися в іншому ВНЗ,"Чимось задоволений, чимось ні","Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Не забезпечує,,Ні,,,,,,,Важко відповісти,Ні,,,,,,,
2435,26.03.2017 10:31:47,,,Одразу вступив до КПІ,,Диплом - формальне підтвердження знань,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,,Ні,,,,,,,Ні,"Так, не за спеціальністю",1.0,,Дизайн,До 20,,,
2436,26.03.2017 12:01:13,,,Одразу вступив до КПІ,,Диплом - формальне підтвердження знань,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,Повністю задоволений,"Щось влаштовує, щось ні",Частково забезпечує,,Ні,,,,,,,Важко відповісти,Ні,,,,,,ку,
2437,26.03.2017 14:19:13,Мрія одержати гарну технічну освіту,Не зовсім,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Скоріше задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,Тепла в корпусі!!!,Так,Повністю задоволений,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,,Так,"Так, за спеціальністю",4.0,Heattrade,Будівництво,До 20,Інженер,"Дякую тим, хто дійсно робить науковий процес цікавим",
2438,26.03.2017 15:16:11,,ні,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Скоріше задоволений,"Чимось задоволений, чимось ні","Щось влаштовує, щось ні",Частково забезпечує,,Так,Повністю задоволений,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,,Ні,"Так, не за спеціальністю",2.0,,IT,До 20,,!!!!!!!!,
2439,26.03.2017 16:48:07,Чув дуже схвальні відгуки від випускників.,"Ні, абсолютно не відповідає.",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,"Чимось задоволений, чимось ні",Скоріше не влаштовує,Не забезпечує,,Ні,,,,,,,Так,"Так, за спеціальністю",2.0,,IT,До 20,,"Хочу подякувати пану Згуровському та пану Киричку, якби не ви, цього всього б не було)",
2440,26.03.2017 16:58:35,,,Одразу вступив до КПІ,,Знання для використання на роботі,Не навчатися в ВНЗ,Скоріше задоволений,"Чимось задоволений, чимось ні",Скоріше не влаштовує,Не забезпечує,,Ні,,,,,,,Так,Ні,,,,,,,
2441,26.03.2017 17:00:13,,Ні,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,Важко відповісти,"Щось влаштовує, щось ні",Частково забезпечує,,Ні,,,,,,,"Ні, але планую працювати в тій самій галузі",Ні,,,,,,,
2442,27.03.2017 8:33:26,Щоб пити пиво на поляні зі своїми односельчанами,"Ні, дуже багато старих викладачів які зовсім нічого не розуміють. Вони не те ще викладати не можуть, їм важко сприймати реальність навколо.",Одразу вступив до КПІ,,,Навчатися в іншому ВНЗ,Скоріше незадоволений,Скоріше незадоволений,"Мені байдуже, не цікавлюся науковою діяльністю",Не забезпечує,Підручників та кваліфікованих викладачів.,Ні,,,,,,,Ні,Ні,,,,,,"Я не хочу дякувати КПІ, адже навчання тут - це змарнований час.",
